eventid,region,attacktype1,targtype1,natlty1,weaptype1, 
201508110080 ,8,7,14,233,8,
201508140040 ,8,3,4,233,6,
201508140142 ,8,3,20,233,6,
201508260040 ,8,2,14,233,8,
201509100042 ,8,3,14,233,6,
201509100043 ,8,3,14,233,6,
201509100062 ,8,2,14,233,5,
201509130055 ,8,7,14,233,8,
201509130063 ,8,7,15,216,8,
201509170114 ,8,7,1,216,8,
201509260027 ,8,7,15,216,8,
201510030038 ,8,3,14,233,6,
201510070037 ,8,3,20,233,6,
201510090027 ,8,3,1,233,6,
201510160023 ,8,3,3,233,6,
201510160072 ,8,3,14,233,6,
201510200041 ,8,2,14,233,5,
201510210034 ,8,2,14,233,8,
201510290088 ,8,3,20,233,6,
201511010030 ,8,3,14,233,6,
201511030011 ,8,3,14,233,6,
201511110053 ,8,3,15,216,6,
201511110065 ,8,7,14,233,9,
201511120056 ,8,9,14,233,13,
201511150060 ,8,8,14,216,9,
201511170029 ,8,2,14,233,8,
201511170030 ,8,7,15,216,8,
201511170084 ,8,8,14,216,9,
201511270019 ,8,3,15,216,6,
201511270040 ,8,7,14,233,8,
201512010055 ,8,3,14,233,6,
201512020045 ,8,2,3,233,8,
201512020050 ,8,7,14,233,8,
201512100041 ,8,7,20,233,8,
201512120047 ,8,3,20,233,6,
201512140038 ,8,3,20,233,6,
201512170045 ,8,7,21,233,8,
201512300017 ,8,2,1,233,5,
201601020041 ,8,7,14,233,8,
201601070054 ,8,2,14,233,5,
201601120050 ,8,7,14,44,8,
201601150080 ,8,7,15,216,8,
201601200049 ,8,7,14,233,8,
201601210049 ,8,3,14,233,6,
201601250041 ,8,2,3,233,8,
201601260042 ,8,7,14,166,8,
201601290020 ,8,3,14,233,6,
201602140036 ,8,7,15,216,8,
201602220050 ,8,3,20,233,6,
201602250041 ,8,3,20,233,6,
201602250042 ,8,2,14,233,5,
201602260045 ,8,7,2,216,8,
201603010074 ,8,7,14,233,8,
201603050027 ,8,3,20,233,6,
201603050029 ,8,3,20,233,6,
201603060025 ,8,3,20,233,6,
201603090047 ,8,3,14,233,6,
201603090048 ,8,3,20,233,6,
201603130023 ,8,3,1,233,6,
201603190018 ,8,3,14,233,6,
201603210025 ,8,3,20,233,6,
201603270049 ,8,4,14,233,8,
201603270050 ,8,2,3,233,8,
201603280036 ,8,2,3,233,8,
201603280037 ,8,2,3,233,8,
201604030044 ,8,7,14,233,8,
201604040076 ,8,7,8,233,8,
201604140043 ,8,7,15,233,8,
201604180060 ,8,2,14,233,5,
201604180072 ,8,7,15,216,8,
201604210056 ,8,7,15,216,8,
201604240051 ,8,7,3,233,12,
201604300033 ,8,6,14,233,5,
201605020051 ,8,2,14,233,8,
201605060053 ,8,7,1,216,8,
201605090053 ,8,2,14,233,5,
201605090054 ,8,2,14,233,5,
201605110039 ,8,7,14,233,8,
201605150028 ,8,2,14,233,5,
201605150029 ,8,3,20,233,6,
201605180061 ,8,7,15,233,8,
201605220022 ,8,2,3,233,8,
201605290029 ,8,2,3,233,8,
201606110056 ,8,9,14,233,13,
201606120039 ,8,7,14,233,8,
201606160037 ,8,3,20,233,6,
201606260035 ,8,7,14,233,8,
201606270033 ,8,2,1,216,8,
201606290041 ,8,2,14,233,5,
201607080020 ,8,7,1,216,8,
201607090026 ,8,3,20,233,6,
201607090027 ,8,2,19,233,8,
201607110029 ,8,2,3,233,8,
201607120031 ,8,8,14,233,9,
201607120040 ,8,3,20,233,6,
201607130040 ,8,7,14,233,8,
201607200039 ,8,6,4,216,9,
201607220079 ,8,7,15,233,8,
201607220085 ,8,7,14,233,8,
201607230036 ,8,3,20,233,6,
201607240024 ,8,7,15,233,8,
201607260024 ,8,3,14,233,6,
201607300012 ,8,7,14,233,8,
201607300014 ,8,3,3,233,6,
201608020071 ,8,2,14,233,5,
201608030027 ,8,6,4,216,13,
201608080067 ,8,3,3,233,6,
201608130025 ,8,2,3,233,6,
201608150053 ,8,7,14,233,8,
201608160035 ,8,3,3,233,6,
201608180028 ,8,7,14,233,8,
201608250030 ,8,3,14,179,6,
201609050069 ,8,3,3,233,6,
201609210135 ,8,7,14,233,9,
201609210136 ,8,7,14,233,9,
201609260015 ,8,3,14,233,6,
201610050039 ,8,7,2,216,8,
201610130033 ,8,7,14,233,8,
201610160043 ,8,7,14,233,8,
201610250037 ,8,7,14,233,8,
201611090037 ,8,7,1,216,8,
201611100009 ,8,3,20,233,6,
201611120020 ,8,7,14,233,8,
201611130037 ,8,2,14,233,5,
201611250041 ,8,3,14,233,6,
201612070013 ,8,7,14,233,8,
201612150018 ,8,3,20,233,6,
201612180024 ,8,2,14,233,5,
201612220011 ,8,3,14,233,6,
201612220012 ,8,3,14,233,6,
201612300009 ,8,3,20,233,6,
201501160065 ,11,6,14,229,5,
201501160066 ,11,6,14,229,5,
201501310102 ,11,2,1,229,5,
201502040016 ,11,5,14,229,8,
201502050072 ,11,6,14,229,5,
201502050073 ,11,6,14,229,5,
201502160009 ,11,2,14,229,5,
201502240094 ,11,9,3,229,13,
201503080032 ,11,2,1,229,5,
201503080072 ,11,5,14,229,5,
201503180067 ,11,6,14,229,5,
201503180068 ,11,6,14,229,5,
201503180069 ,11,6,14,229,5,
201503180071 ,11,9,4,229,13,
201503190073 ,11,6,14,229,8,
201503190074 ,11,6,14,229,8,
201503190075 ,11,6,14,229,8,
201503210048 ,11,6,14,229,13,
201503210065 ,11,6,14,229,5,
201503210066 ,11,2,4,229,5,
201503290050 ,11,2,14,229,5,
201503290051 ,11,2,14,229,5,
201503290052 ,11,2,14,229,5,
201504040061 ,11,2,7,422,5,
201504070012 ,11,3,4,229,6,
201504070054 ,11,6,3,229,13,
201504080034 ,11,9,4,229,13,
201504150054 ,11,6,14,229,9,
201504150062 ,11,6,14,229,13,
201504160071 ,11,1,10,229,9,
201504230026 ,11,6,7,422,13,
201504240077 ,11,2,14,229,9,
201504290041 ,11,6,14,229,9,
201504290042 ,11,6,14,229,13,
201504300116 ,11,2,14,229,8,
201505010115 ,11,6,14,229,5,
201505040040 ,11,2,7,422,5,
201505050056 ,11,2,7,422,5,
201505080026 ,11,2,14,229,9,
201505110094 ,11,2,14,229,5,
201505130056 ,11,2,14,229,9,
201505130057 ,11,2,14,229,9,
201505160101 ,11,6,4,229,9,
201505180097 ,11,2,14,229,9,
201505220087 ,11,6,14,229,13,
201505260095 ,11,6,14,229,5,
201505310080 ,11,6,14,229,5,
201506020087 ,11,2,6,229,5,
201506080072 ,11,6,14,229,5,
201506160107 ,11,6,12,422,5,
201506200059 ,11,2,3,229,5,
201506260080 ,11,6,4,229,6,
201506260081 ,11,6,4,229,6,
201506260082 ,11,6,4,229,6,
201507060099 ,11,6,14,229,5,
201507070090 ,11,6,14,229,5,
201507090063 ,11,2,7,422,5,
201507100094 ,11,2,4,229,5,
201507100095 ,11,6,14,229,13,
201507100096 ,11,6,14,229,13,
201507100097 ,11,6,14,229,13,
201507140041 ,11,2,14,229,5,
201507140042 ,11,2,14,229,5,
201507140043 ,11,2,14,229,5,
201507230024 ,11,2,14,229,5,
201508020067 ,11,6,15,203,5,
201508160048 ,11,2,4,229,5,
201508170033 ,11,9,3,229,13,
201508180041 ,11,9,4,229,13,
201508180042 ,11,9,3,229,13,
201508200064 ,11,2,14,229,8,
201508310033 ,11,2,4,229,6,
201509010037 ,11,2,4,229,5,
201509050075 ,11,2,14,229,9,
201509050076 ,11,2,14,229,9,
201509070066 ,11,9,14,229,13,
201509070067 ,11,2,2,229,5,
201509080072 ,11,9,14,229,13,
201509100050 ,11,2,4,229,5,
201509200108 ,11,2,2,229,5,
201509200109 ,11,2,14,229,5,
201509200110 ,11,2,14,229,5,
201509200111 ,11,2,14,229,5,
201509240018 ,11,2,4,229,5,
201509240050 ,11,2,4,229,5,
201509260065 ,11,2,14,229,5,
201509290071 ,11,2,14,229,9,
201510020052 ,11,6,14,229,13,
201510050057 ,11,9,4,229,13,
201510090068 ,11,2,2,229,5,
201510120003 ,11,2,4,229,5,
201510120005 ,11,2,4,229,5,
201510120007 ,11,2,4,229,5,
201510120008 ,11,2,4,229,5,
201510120009 ,11,2,4,229,5,
201510180089 ,11,6,4,229,8,
201510180090 ,11,6,14,229,8,
201510260026 ,11,9,4,229,13,
201510260027 ,11,9,4,229,13,
201510260028 ,11,9,4,229,13,
201510270021 ,11,2,14,229,5,
201510270022 ,11,5,14,229,5,
201510270023 ,11,9,14,229,13,
201510300055 ,11,6,12,422,13,
201511010027 ,11,6,12,229,5,
201511010056 ,11,6,14,229,13,
201511060036 ,11,6,14,229,5,
201511060037 ,11,6,14,229,5,
201511060038 ,11,6,14,229,5,
201511150067 ,11,9,14,229,13,
201511170080 ,11,9,14,229,13,
201511170081 ,11,9,14,229,13,
201511170082 ,11,6,14,229,13,
201511170083 ,11,6,14,229,13,
201511180072 ,11,9,14,229,13,
