"","eventid","riskscore"
"218",199803180001,10.14012738
"219",199803200001,12.532028584
"220",199803200002,4
"221",199803210001,8.01298303
"222",199803210002,9.616847214
"223",199803220001,10.054373806
"224",199803220002,9
"225",199803230001,12.026455344
"226",199803230002,10.00048834
"227",199803230003,12.00635514
"228",199803230004,12.071347376
"229",199803240001,10
"230",199803250001,12.298304736
"231",199803260001,14.000732512
"232",199803260092,3
"233",199803270001,10
"234",199803270002,9.01273886
"235",199803270003,13.163541876
"236",199803280001,6.56369426
"237",199803290001,9.265032238
"238",199803300001,10.0254777
"239",199803310001,10.040902434
"240",199803310002,14
"241",1.99804e+11,12.072802795
"242",199804010001,4
"243",199804010002,10
"244",199804020001,10.02596604
"245",199804020002,10.001709194
"246",199804020003,12.045319364
"247",199804020004,13
"248",199804030001,9.589904492
"249",199804040001,13.027919404
"250",199804040002,13
"251",199804050001,10.10191082
"252",199804050002,10.065159282
"253",199804060001,14
"254",199804060002,10.083758232
"255",199804060003,10.015424734
"256",199804060004,13
"257",199804060005,13.013471372
"258",199804060006,8.00024417
"259",199804060007,9
"260",199804070001,5.079851506
"261",199804080001,10
"262",199804090001,16.095756138
"263",199804090002,16.083261448
"264",199804090003,12.0254777
"265",199804090004,7
"266",199804090005,7
"267",199804090006,7
"268",199804090007,7
"269",199804090008,12.00048834
"270",199804100001,9.502197534
"271",199804100002,9.51273886
"272",199804130001,4.5
"273",199804130002,9.516401416
"274",199804140001,10
"275",199804140002,13.0254777
"276",199804140003,13.0254777
"277",199804140004,9.00024417
"278",199804150001,8.008069406
"279",199804160001,8.565647624
"280",199804170001,10
"281",199804180001,10.1656051
"282",199804190001,10
"283",199804200001,4
"284",199804200002,9.28025478
"285",199804210001,9.01273886
"286",199804210002,10.073461078
"287",199804220002,11.02866242
"288",199804220003,10.002685874
"289",199804220004,10.3312102
"290",199804230001,10
"291",199804240001,13.06369426
"292",199804240002,13.05095542
"293",199804240003,4.00024417
"294",199804250001,9.12738854
"295",199804260001,10
"296",199804280001,13.01273886
"297",199804280002,13
"298",199804280003,13
"299",199804280004,14
"300",199804290001,4
"301",199804300001,10.0254777
"302",199804300002,10.015913076
"303",199804300003,10
"304",199804300004,9.12738854
"305",199804300005,9.60191082
"306",199804300006,9.51298303
"307",199805010001,10
"308",199805010002,11.095176527
"309",199805010003,4.01273886
"310",199805030001,10
"311",199805030002,4.5
"312",199805030003,9
"313",199805040001,16.2790744
"314",199805040002,12.64012738
"315",199805040003,10
"316",199805050001,10
"317",199805050002,12.05095542
"318",199805050003,12.06369426
"319",199805050004,12.01273886
"320",199805050005,11.50024417
"321",199805050006,15.000747664
"322",199805060001,9.01273886
"323",199805070001,10.01273886
"324",199805070002,9.504883408
"325",199805070003,9.527186894
"326",199805080001,10.0254777
"327",199805080002,10
"328",199805080003,9.536625564
"329",199805090001,9
"330",199805090002,9.51273886
"331",199805090003,8.01298303
"332",199805090004,9.503662556
"333",199805100001,12
"334",199805100002,13
"335",199805100003,10.000976682
"336",199805100004,10.043099968
"337",199805110001,13
"338",199805110002,13
"339",199805110003,13
"340",199805110004,9.00024417
"341",199805120001,9.78049895
"342",199805120002,9.01273886
"343",199805120003,4
"344",199805120004,3.00024417
"345",199805130001,10
"346",199805130002,10.05095542
"347",199805130003,10.001465022
"348",199805140001,9.05095542
"349",199805140002,10.00048834
"350",199805160001,9.0254777
"351",199805170001,9.0254777
"352",199805170005,13
"353",199805170006,13
"354",199805170007,10.026210212
"355",199805200001,9.50048834
"356",199805210001,10.00024417
"357",199805210007,10.00024417
"358",199805220001,10.218471886
"359",199805260001,10.091125344
"360",199805270001,10.152335902
"361",1.99806e+11,12.000747664
"362",199806020001,13
"363",199806020002,13.039681582
"364",199806020003,7
"365",199806030001,13.001465022
"366",199806030002,13.013715542
"367",199806040001,9.0387049
"368",199806040002,9.502441704
"369",199806050001,4
"370",199806050002,9.300807094
"371",199806050003,9.040658264
"372",199806080001,9.004883408
"373",199806090001,10
"374",199806110001,10.15799382
"375",199806140001,9
"376",199806140002,10.01298303
"377",199806150001,10
"378",199806170001,9.167070122
"379",199806180001,13.128121052
"380",199806180002,13.130806926
"381",199806190001,9.319936362
"382",199806190002,9.07643312
"383",199806200001,13.011214954
"384",199806200002,9.01298303
"385",199806200003,14
"386",199806210001,9.03821656
"387",199806210002,9
"388",199806210004,17
"389",199806210005,13
"390",199806220001,10.015180564
"391",199806220002,9.538949072
"392",199806230002,9.5
"393",199806240001,10.001465022
"394",199806240003,10.00024417
"395",199806250001,10.01298303
"396",199806250002,10.013471372
"397",199806250003,7.2165605
"398",199806260001,9
"399",199806270001,16
"400",199806270002,8.5
"401",199806290001,10.00048834
"402",199807010001,13
"403",199807010002,13
"404",199807010003,13
"405",199807010004,13
"406",199807010005,13
"407",199807010006,13
"408",199807010007,13
"409",199807010008,13
"410",199807010009,13
"411",199807010010,9.513715542
"412",199807020001,8.00024417
"413",199807020002,9.013959712
"414",199807080001,12.003046424
"415",199807090001,9.675860258
"416",199807090002,4
"417",199807090003,4
"418",199807100001,4
"419",199807100002,4
"420",199807110001,8.25477708
"421",199807110002,8.01298303
"422",199807120001,10.03821656
"423",199807120002,9.064915112
"424",199807120003,8.01273886
"425",199807120004,13.002441704
"426",199807120005,13.014936394
"427",199807130001,13
"428",199807130002,13
"429",199807130003,4
"430",199807130004,9.50024417
"431",199807130005,8.000732512
"432",199807130006,4
"433",199807140001,9.03846073
"434",199807150001,7
"435",199807150002,9.10239916
"436",199807150003,9.00048834
"437",199807150004,10.051932102
"438",199807160001,7
"439",199807160002,10
"440",199807160003,4
"441",199807170001,4
"442",199807170002,9.08917198
"443",199807170003,9.026698552
"444",199807170004,12.00048834
"445",199807170005,12.000732512
"446",199807190001,4.50024417
"447",199807190002,9.01273886
"448",199807190003,10
"449",199807200001,4
"450",199807200002,10
"451",199807200003,12.5
"452",199807200004,9.05095542
"453",199807210001,6
"454",199807210002,12.002672592
"455",199807210003,8
"456",199807210004,4
"457",199807210005,13
"458",199807210006,12.5
"459",199807210007,8.628121052
"460",199807210008,9.83757962
"461",199807210009,6
"462",199807220001,12.01273886
"463",199807230001,9.014448054
"464",199807240001,9.02572187
"465",199807240002,8
"466",199807240003,9
"467",199807250001,8.00048834
"468",199807250002,8.00048834
"469",199807250003,12.00024417
"470",199807250004,7
"471",199807260001,10.12738854
"472",199807260002,9.01273886
"473",199807260003,8
"474",199807260004,9
"475",199807270001,9.03821656
"476",199807270002,9.026210212
"477",199807270003,13
"478",199807270004,13
"479",199807270005,12
"480",199807270006,4
"481",199807280001,9
"482",199807280002,8.08917198
"483",199807280003,8.11464968
"484",199807280004,12.102643332
"485",199807280005,12.115870532
"486",199807280006,14
"487",199807280007,7
"488",199807280008,13
"489",199807280009,13
"490",199807280010,13
"491",199807290001,4
"492",199807290002,9.5
"493",199807290003,10
"494",199807290005,10
"495",199807290006,9.647208322
"496",199807290007,11.07643312
"497",199807290008,11.06369426
"498",199807290009,13
"499",199807290010,13
"500",199807300001,9.013959712
"501",199807300002,9.527919404
"502",199807300003,8
"503",199807310001,10.01273886
"504",199807310002,9.543099968
"505",199807310003,9.03821656
"506",199807310004,8.038590392
"507",199808010001,14.15286624
"508",199808010002,10.002930046
"509",199808010003,10.07643312
"510",199808020001,10
"511",199808020002,10
"512",199808020003,9.154331262
"513",199808020004,13
"514",199808020005,13
"515",199808020006,13
"516",199808020007,12.038590392
"517",199808030001,9.333896074
"518",199808030002,9.064426772
"519",199808030003,8.24203822
"520",199808030004,4
"521",199808030005,15.63561284
"522",199808030006,13
"523",199808030007,10.03821656
"524",199808030008,19.514399674
"525",199808030009,16
"526",199808030010,16
"527",199808030011,16
"528",199808030012,16
"529",199808030013,16
"530",199808030014,16
"531",199808030015,16
"532",199808030016,16
"533",199808030017,16
"534",199808030018,16
"535",199808030019,16
"536",199808030020,16
"537",199808030021,16
"538",199808030022,16
"539",199808030023,16
"540",199808030024,16
"541",199808030025,16
"542",199808030026,16
"543",199808040001,9.0254777
"544",199808040002,9.001709194
"545",199808040003,9.03821656
"546",199808040004,8.24203822
"547",199808040005,15.000373832
"548",199808040006,15.000373832
"549",199808040007,15.000747664
"550",199808040008,15.000373832
"551",199808040009,15.000373832
"552",199808040010,15.001121496
"553",199808040011,12.003364486
"554",199808040013,13
"555",199808040014,13
"556",199808040015,13
"557",199808040016,13
"558",199808040017,13
"559",199808040018,12
"560",199808050001,12
"561",199808050002,10
"562",199808060001,10
"563",199808060002,12
"564",199808070001,10.041634946
"565",199808070002,20.830184904
"566",199808070003,17.160881866
"567",199808070004,12
"568",199808080002,10.038949072
"569",199808090001,10
"570",199808090002,9.6910828
"571",199808090003,8.65286624
"572",199808090005,11.036261682
"573",199808090006,10
"574",199808090007,9.10191082
"575",199808100002,10
"576",199808110001,10
"577",199808110002,10
"578",199808120001,10.091857854
"579",199808120002,10
"580",199808120003,10.103131672
"581",199808130001,9.5
"582",199808130002,9
"583",199808140001,14
"584",199808140002,9.551932102
"585",199808140003,9.5
"586",199808150001,9.05095542
"587",199808150002,10.423144254
"588",199808160001,9.00048834
"589",199808160002,8.51273886
"590",199808160003,8.51273886
"591",199808170001,10.004150898
"592",199808190001,10.00048834
"593",199808190002,10
"594",199808190003,10
"595",199808190004,10.013715542
"596",199808190005,10
"597",199808200001,10.175127746
"598",199808200002,10.01273886
"599",199808200003,10.01273886
"600",199808200004,10.02596604
"601",199808200005,9
"602",199808210001,11.00024417
"603",199808210002,11
"604",199808210003,9.03821656
"605",199808210004,8.0254777
"606",199808210005,10
"607",199808210006,12.0254777
"608",199808210007,12.00048834
"609",199808210008,7
"610",199808230001,9.07667729
"611",199808230002,8.090392832
"612",199808230003,9.03821656
"613",199808240001,10
"614",199808240002,10.032802812
"615",199808240003,10.043099968
"616",199808240004,10.026210212
"617",199808240005,10.47133758
"618",199808240006,10.00048834
"619",199808250001,13
"620",199808250002,13
"621",199808250003,13
"622",199808250004,13
"623",199808250005,10.15286624
"624",199808260001,9.140859892
"625",199808260002,10.019331462
"626",199808260003,4
"627",199808270001,10.026210212
"628",199808270002,10.00512758
"629",199808280001,8.3821656
"630",199808290001,10.00024417
"631",199808310001,10.231210726
"632",199809010001,9.00024417
"633",199809020001,9.02572187
"634",199809030001,9.52572187
"635",199809030002,9.0254777
"636",199809030003,9
"637",199809050001,13.236094134
"638",199809050002,12.00635514
"639",199809060001,10.026210212
"640",199809070001,12.004859814
"641",199809080001,10.003662556
"642",199809080002,9.01273886
"643",199809080003,10.016401416
"644",199809080004,13
"645",199809080005,13
"646",199809090001,12.013471372
"647",199809090002,12.00024417
"648",199809090003,9.08917198
"649",199809100001,9.05095542
"650",199809110001,9.26751592
"651",199809110002,3
"652",199809110003,13.046762526
"653",199809110004,13.015180564
"654",199809110005,9.01273886
"655",199809110006,12.001121496
"656",199809120001,9.0132272
"657",199809130001,9.05095542
"658",199809130002,12.0387049
"659",199809130003,12.0387049
"660",199809130004,12.0387049
"661",199809130005,9.3821656
"662",199809130006,12.007476636
"663",199809140001,9
"664",199809160001,9.0254777
"665",199809170001,9.01273886
"666",199809170002,10
"667",199809170004,9.013471372
"668",199809170005,4.00024417
"669",199809180001,10.287579892
"670",199809180002,8.0254777
"671",199809190001,10
"672",199809200001,9.08917198
"673",199809200002,8.01273886
"674",199809200003,8.01273886
"675",199809200004,12.026706596
"676",199809200005,9.109235932
"677",199809210001,8.002441704
"678",199809210002,13
"679",199809210003,7
"680",199809220001,10
"681",199809220002,10.00024417
"682",199809230001,4.00024417
"683",199809240001,10.00024417
"684",199809250001,10.01273886
"685",199809250002,10.07643312
"686",199809250003,8.02572187
"687",199809270001,10
"688",199809270002,9.080095676
"689",199809280001,9.0254777
"690",199809290001,9.03821656
"691",199809290002,9.01273886
"692",199809290003,10.00024417
"693",199809290004,10
"694",199809300001,9.00586009
"695",199809300002,8.17834394
"696",199809300003,10
"697",199810010001,4
"698",199810010002,10
"699",199810020001,8.003174216
"700",199810020002,10.20382166
"701",199810020003,9.01298303
"702",199810020004,13
"703",199810020005,13.013471372
"704",199810020006,12.072679831
"705",199810030001,10.000976682
"706",199810030002,7
"707",199810030003,7
"708",199810030004,8.01273886
"709",199810030005,10
"710",199810040001,12.5
"711",199810040002,10.0254777
"712",199810050001,8.026210212
"713",199810050002,9.12738854
"714",199810050003,10.053355126
"715",199810060001,10.14012738
"716",199810060002,9.58917198
"717",199810060003,9.08917198
"718",199810060004,10.03821656
"719",199810070001,10.141348232
"720",199810070002,10.358397094
"721",199810070003,3.00024417
"722",199810070004,3.01273886
"723",199810070005,10.01273886
"724",199810080001,12.01273886
"725",199810080002,9.10191082
"726",199810080003,13.08917198
"727",199810080004,9.1656051
"728",199810080005,10.207240046
"729",199810090001,9.01273886
"730",199810090002,9.01298303
"731",199810090003,5.00024417
"732",199810100001,8.07643312
"733",199810100002,9.564915112
"734",199810100003,10
"735",199810100004,13.00048834
"736",199810100005,13.000732512
"737",199810110001,13
"738",199810110002,13
"739",199810110003,13
"740",199810110004,11.5
"741",199810110005,11.5
"742",199810110006,10.091125344
"743",199810110007,10.026698552
"744",199810110008,10.00048834
"745",199810110009,5.00024417
"746",199810110010,10.03821656
"747",199810110011,4
"748",199810120001,10.051932102
"749",199810120002,13.007476636
"750",199810130001,10.01298303
"751",199810130002,10
"752",199810140001,14
"753",199810140002,9
"754",199810150001,13
"755",199810150002,13
"756",199810150003,13
"757",199810150004,10.0387049
"758",199810160001,12.11464968
"759",199810160002,12.05095542
"760",199810160003,13.0387049
"761",199810160004,11.53821656
"762",199810160005,10.117091384
"763",199810160006,12.000373832
"764",199810170001,9.038949072
"765",199810170002,9.08917198
"766",199810170003,9.038949072
"767",199810170004,9
"768",199810170005,12.000373832
"769",199810180001,9.513471372
"770",199810180002,14.635882004
"771",199810180003,12.002672592
"772",199810180004,8.669755998
"773",199810190002,10.015871078
"774",199810190003,4
"775",199810190004,14
"776",199810210001,12.000373832
"777",199810210002,13.007102804
"778",199810220001,10
"779",199810220002,8.01298303
"780",199810230001,8.01273886
"781",199810230002,9.013471372
"782",199810230003,9.5
"783",199810230004,10
"784",199810250001,10.14012738
"785",199810250002,12.62738854
"786",199810250003,13.25477708
"787",199810250004,10.03821656
"788",199810260001,12.01273886
"789",199810260002,10.01273886
"790",199810260003,10
"791",199810270001,10.047983378
"792",199810270002,9.000976682
"793",199810270003,7
"794",199810270004,7
"795",199810270005,13.001465022
"796",199810270006,13.001465022
"797",199810280001,9.01273886
"798",199810280002,10
"799",199810280003,8.963482128
"800",199810290001,10.0254777
"801",199810290002,8.01298303
"802",199810290003,10
"803",199810290004,10
"804",199810290005,9.514203882
"805",199810300001,10.027692132
"806",199810300002,9.57643312
"807",199810300003,10
"808",199810300004,9.129341904
"809",199810300005,10
"810",199810310001,9.01273886
"811",1.99811e+11,10
"812",199811010001,21.03593071
"813",199811010002,10
"814",199811010003,10
"815",199811020001,11.3566879
"816",199811020002,13.01786644
"817",199811020003,13.004883408
"818",199811020004,13.01273886
"819",199811020005,13
"820",199811020006,13
"821",199811030001,4
"822",199811030002,11.603635166
"823",199811050001,10
"824",199811050002,10.00048834
"825",199811050003,10.064670942
"826",199811060001,10.00048834
"827",199811060002,10.03060528
"828",199811060003,8.06369426
"829",199811060004,11.027187828
"830",199811070001,9.8566879
"831",199811070002,9.58229321
"832",199811070003,13.320151954
"833",199811080001,10.01298303
"834",199811080002,10
"835",199811080003,10.01298303
"836",199811080004,9
"837",199811080005,10
"838",199811080006,10.03846073
"839",199811080007,13.081835174
"840",199811080008,10.77388536
"841",199811090001,10.725859986
"842",199811090002,11.540833382
"843",199811100001,12
"844",199811100002,13
"845",199811100003,9.078142314
"846",199811110001,9
"847",199811110002,4
"848",199811110003,10.00024417
"849",199811120001,9.538949072
"850",199811120002,10
"851",199811130001,10
"852",199811130002,10
"853",199811130003,8.513471372
"854",199811140001,9.70382166
"855",199811150001,12.547188522
"856",199811160001,10
"857",199811160002,10
"858",199811160003,9.013959712
"859",199811160004,4
"860",199811170001,10
"861",199811170002,10
"862",199811170003,10.00024417
"863",199811170004,10.013959712
"864",199811180001,12.618387998
"865",199811180002,9.01273886
"866",199811190001,10.003662556
"867",199811190002,10.00048834
"868",199811190003,13.0132272
"869",199811190004,13
"870",199811190005,10
"871",199811200001,8.526454382
"872",199811200002,10.01273886
"873",199811200003,13.244252632
"874",199811200004,10.0132272
"875",199811210001,10.01298303
"876",199811210002,10.022505678
"877",199811220001,10.078874824
"878",199811220002,9.5
"879",199811230001,10.010255158
